onset	duration	nwb_table	cond
19.496253448174794	3.0	trials	4
23.496233713857244	3.0	trials	1
27.496247316042222	3.0	trials	0
31.49622758172467	2.9999999999999964	trials	3
35.49624118390965	3.0	trials	0
39.4962214495921	3.0	trials	4
43.49623505177708	3.0	trials	9
47.496248653962056	3.0	trials	1
51.4962289196445	3.0	trials	9
55.49624252182948	3.0	trials	4
59.49622278751193	3.0	trials	0
63.49623638969691	3.000000000000007	trials	6
67.49624999188188	3.0	trials	1
71.49623025756433	3.0	trials	3
75.49624385974931	3.0	trials	7
79.49622412543177	3.0	trials	8
83.49623772761674	3.0	trials	0
87.4962179932992	3.0	trials	3
91.49623159548418	3.0	trials	3
95.49624519766915	3.0	trials	8
99.49622546335159	3.0	trials	0
103.49623906553657	3.0	trials	2
107.49621933121902	3.0	trials	9
111.496232933404	3.0	trials	5
115.49624653558898	3.0	trials	5
119.49622680127143	3.0	trials	9
123.49624040345641	3.0	trials	1
127.49622066913885	2.999999999999986	trials	3
131.49623427132383	3.0	trials	8
135.49624787350882	3.0	trials	4
139.49622813919126	3.0	trials	7
143.49624174137625	3.0	trials	4
147.4962220070587	3.0	trials	3
151.49623560924366	3.0	trials	1
155.49621587492612	3.0	trials	3
159.4962294771111	3.0	trials	4
163.49624307929608	3.0	trials	0
167.49622334497852	3.0	trials	3
171.4962369471635	3.0	trials	6
175.49621721284595	3.0	trials	7
179.49623081503094	3.0	trials	6
183.4962444172159	3.0	trials	1
187.49622468289834	3.0	trials	1
191.49623828508334	3.0	trials	3
195.49621855076578	3.0	trials	1
199.49623215295077	3.0	trials	5
203.49624575513573	3.0	trials	4
207.4962260208182	3.0	trials	5
211.49623962300316	3.0	trials	4
215.4962198886856	3.0	trials	0
219.4962334908706	3.0	trials	0
223.49624709305556	3.0	trials	5
227.49622735873803	3.0	trials	1
231.496240960923	3.0	trials	4
235.49622122660546	3.0	trials	7
239.49623482879042	3.0	trials	2
243.4962484309754	3.0	trials	8
247.49622869665785	3.0	trials	8
251.49624229884284	3.0	trials	9
255.49622256452528	3.0	trials	3
259.4962361667103	3.0	trials	6
263.4962164323927	3.0	trials	3
267.4962300345777	3.0	trials	3
271.49624363676264	3.0	trials	2
275.49622390244514	3.0	trials	7
279.4962375046301	3.0	trials	7
283.4962177703125	3.0	trials	7
287.4962313724975	3.0	trials	6
291.4962449746825	3.0	trials	0
295.49622524036494	3.0	trials	3
299.49623884254993	3.0	trials	8
303.49621910823237	3.0	trials	7
307.49623271041736	3.0	trials	1
311.49624631260235	3.0	trials	5
315.4962265782848	3.0	trials	9
319.4962401804698	3.0	trials	5
323.4962204461522	3.0	trials	9
327.49623404833716	3.0	trials	6
331.49624765052215	3.0	trials	5
335.4962279162046	3.0	trials	4
339.4962415183896	3.0	trials	5
343.496221784072	3.0	trials	0
347.496235386257	3.0	trials	7
351.496248988442	3.0	trials	5
355.49622925412444	3.0	trials	2
359.49624285630944	3.0	trials	7
363.4962231219919	3.0	trials	4
367.49623672417687	3.0	trials	3
371.4962503263618	3.0	trials	2
375.4962305920443	3.0	trials	6
379.49624419422923	3.0	trials	2
383.49622445991173	3.0	trials	4
387.49623806209667	3.0	trials	6
391.4962183277791	3.0	trials	1
395.4962319299641	3.0	trials	9
399.4962455321491	3.0	trials	8
403.4962257978315	3.0	trials	2
407.4962394000165	3.0	trials	1
411.49621966569896	3.0	trials	7
415.49623326788395	3.0	trials	0
419.49624687006894	3.0	trials	5
423.4962271357514	3.0	trials	1
427.4962407379364	3.0	trials	0
431.4962210036188	3.0	trials	0
435.49623460580375	3.0	trials	6
439.49624820798874	3.0	trials	6
443.4962284736712	3.0	trials	9
447.4962420758562	3.0	trials	8
451.4962223415386	3.0	trials	5
455.4962359437236	3.0	trials	4
459.4962495459086	3.0	trials	0
463.49622981159104	3.0	trials	1
467.496243413776	3.0	trials	4
471.49622367945847	3.0	trials	4
475.49623728164346	3.0	trials	2
479.4962508838284	3.0	trials	6
483.4962311495109	3.0	trials	0
487.4962447516958	3.0	trials	2
491.4962250173783	3.0	trials	5
495.49623861956326	3.0	trials	8
499.49625222174825	3.0	trials	2
503.4962324874307	3.0	trials	7
507.4962460896157	3.0	trials	3
511.4962263552981	3.000000000000057	trials	4
515.4962399574831	3.0	trials	6
519.496253559668	3.0	trials	0
523.4962338253505	3.0	trials	3
527.4962474275355	3.0	trials	4
531.496227693218	3.0	trials	9
535.4962412954029	3.0	trials	8
539.4962215610853	3.0	trials	0
543.4962351632704	3.0	trials	5
547.4962487654553	3.0	trials	9
551.4962290311378	3.0	trials	2
555.4962426333228	3.0	trials	6
559.4962228990053	3.0	trials	1
563.4962365011902	3.0	trials	2
567.4962501033751	3.0	trials	6
571.4962303690576	3.0	trials	2
575.4962439712426	3.0	trials	1
579.4962242369251	3.0	trials	2
583.49623783911	3.0	trials	6
587.496251441295	3.0	trials	1
591.4962317069775	3.0	trials	8
595.4962453091624	3.0	trials	2
599.4962255748449	3.0	trials	5
603.4962391770299	3.0	trials	5
607.4962527792148	3.0	trials	0
611.4962330448973	3.0	trials	5
615.4962466470822	3.0	trials	1
619.4962269127648	3.0	trials	9
623.4962405149497	3.0	trials	8
627.4962207806321	3.0	trials	9
631.4962343828171	3.0	trials	8
635.4962479850021	3.0	trials	3
639.4962282506846	3.0	trials	1
643.4962418528695	3.0	trials	9
647.4962221185519	3.0	trials	7
651.496235720737	3.0	trials	0
655.4962493229219	3.0	trials	0
659.4962295886044	3.0	trials	3
663.4962431907894	3.0	trials	2
667.4962234564719	3.0	trials	1
671.4962370586568	3.0	trials	9
675.4962506608417	3.0	trials	1
679.4962309265242	3.0	trials	4
683.4962445287092	3.0	trials	0
687.4962247943917	3.0	trials	8
691.4962383965766	3.0	trials	2
695.4962519987616	3.0	trials	5
699.4962322644441	3.0	trials	8
703.496245866629	3.0	trials	7
707.4962261323114	3.0	trials	8
711.4962397344965	3.0	trials	6
715.4962533366814	3.0	trials	9
719.4962336023639	3.0	trials	5
723.4962472045488	3.0	trials	3
727.4962274702314	3.0	trials	4
731.4962410724163	3.0	trials	8
735.4962213380987	3.0	trials	0
739.4962349402837	3.0	trials	1
743.4962485424687	3.0	trials	8
747.4962288081512	3.0	trials	8
751.4962424103361	3.0	trials	9
755.4962226760185	3.0	trials	9
759.4962362782036	3.0	trials	9
763.4962498803885	3.0	trials	3
767.496230146071	3.0	trials	0
771.496243748256	3.0	trials	6
775.4962240139384	3.0	trials	5
779.4962376161234	3.0	trials	7
783.4962512183083	3.0	trials	8
787.4962314839908	3.0	trials	3
791.4962450861758	3.0	trials	6
795.4962253518582	3.0	trials	3
799.4962389540432	3.0	trials	6
803.4962525562282	3.0	trials	5
807.4962328219107	3.0	trials	4
811.4962464240956	3.0	trials	2
815.496226689778	3.0	trials	9
819.4962402919631	3.0	trials	3
823.496253894148	3.0	trials	4
827.4962341598305	3.0	trials	1
831.4962477620154	3.0	trials	3
835.496228027698	3.0	trials	2
839.4962416298829	3.0	trials	3
843.4962218955653	3.0	trials	9
847.4962354977503	3.0	trials	7
851.4962490999353	3.0	trials	7
855.4962293656178	3.0	trials	6
859.4962429678027	3.0	trials	8
863.4962232334851	3.0	trials	7
867.4962368356702	3.0	trials	2
871.4962504378551	3.0	trials	7
875.4962307035375	3.0	trials	8
879.4962443057226	3.0	trials	4
883.496224571405	3.0	trials	0
887.49623817359	3.0	trials	2
891.4962517757749	3.0	trials	0
895.4962320414573	3.0	trials	4
899.4962456436424	3.0	trials	0
903.4962259093248	3.0	trials	7
907.4962395115098	3.0	trials	2
911.4962531136948	3.0	trials	5
915.4962333793773	3.0	trials	6
919.4962469815622	3.0	trials	5
923.4962272472446	3.0	trials	6
927.4962408494297	3.0	trials	6
931.4962544516146	3.0	trials	7
935.496234717297	3.0	trials	3
939.496248319482	3.0	trials	1
943.4962285851645	3.0	trials	5
947.4962421873495	3.0	trials	9
951.4962224530319	3.0	trials	4
955.4962360552169	3.0	trials	2
959.4962496574019	3.0	trials	7
963.4962299230843	3.0	trials	8
967.4962435252693	3.0	trials	5
971.4962237909517	3.0	trials	7
975.4962373931368	3.0	trials	2
979.4962509953217	3.0	trials	2
983.4962312610041	3.0	trials	9
987.4962448631892	3.0	trials	7
991.4962251288716	3.0	trials	9
995.4962387310566	3.0	trials	8
999.4962523332415	3.0	trials	0
1003.4962325989239	3.0	trials	2
1007.496246201109	3.0	trials	5
1011.4962264667914	3.0	trials	1
1015.4962400689764	3.0	trials	6
1019.4962536711614	3.0	trials	7
1023.4962339368439	3.0000000000001137	trials	6
1027.496247539029	3.0	trials	8
1031.4962278047112	3.0	trials	3
1035.4962414068962	3.0	trials	1
1039.496255009081	3.0	trials	0
1043.4962352747636	3.0	trials	5
1047.4962488769486	3.0	trials	8
1051.4962291426311	3.0	trials	9
1055.496242744816	3.0	trials	2
1059.4962230104984	3.0	trials	2
1063.4962366126836	3.0	trials	5
1067.4962502148685	3.0	trials	3
1071.4962304805508	3.0	trials	9
1075.496244082736	3.0	trials	7
1079.4962243484183	3.0	trials	3
1083.4962379506032	3.0	trials	0
1087.4962515527884	3.0	trials	8
1091.4962318184707	3.0	trials	4
1095.4962454206557	3.0	trials	4
1099.4962256863382	3.0	trials	6
1103.4962392885232	3.0	trials	7
1107.496252890708	3.0	trials	1
1111.4962331563906	3.0	trials	4
1115.4962467585756	3.0	trials	7
1119.496227024258	3.0	trials	5
1123.496240626443	3.0	trials	2
1127.496254228628	3.0	trials	1
1131.4962344943103	3.0	trials	0
1135.4962480964955	3.0	trials	9
1139.4962283621778	3.0	trials	2
1143.4962419643628	3.0	trials	4
1147.4962555665477	3.0	trials	7
1151.4962358322302	3.0	trials	7
1155.4962494344152	3.0	trials	3
1159.4962297000977	3.0	trials	9
1163.4962433022827	3.0	trials	8
1167.4962569044676	3.0	trials	1
1171.4962371701502	3.0	trials	4
1175.496250772335	3.0	trials	9
1179.4962310380174	3.0	trials	4
1183.4962446402026	3.0	trials	9
1187.4962582423875	3.0	trials	6
1191.4962385080698	3.0	trials	5
1195.496252110255	3.0	trials	1
1199.4962323759373	3.0	trials	6
1203.4962459781223	3.0	trials	6
1207.4962262438048	3.0	trials	6
1211.4962398459897	3.0	trials	8
1215.4962534481747	3.0	trials	8
