onset	duration	nwb_table	cond
15.823839861676909	3.0	trials	0
19.823820684823282	3.0	trials	9
23.82383484447683	3.0	trials	2
27.823815667623204	3.0	trials	4
31.823829827276757	2.9999999999999964	trials	3
35.82381065042313	3.0	trials	3
39.82382481007668	3.0	trials	7
43.82383896973023	3.0	trials	7
47.823819792876606	3.0	trials	5
51.82383395253015	3.0	trials	2
55.823814775676524	3.0	trials	4
59.82382893533008	3.0	trials	4
63.82380975847645	2.999999999999993	trials	5
67.82382391813	3.0	trials	6
71.82383807778355	3.0	trials	5
75.82381890092992	3.0	trials	7
79.82383306058347	3.0	trials	4
83.82381388372984	3.0	trials	0
87.8238280433834	3.0	trials	8
91.82380886652977	3.0	trials	5
95.82382302618332	3.0	trials	9
99.82383718583687	3.0	trials	4
103.82381800898324	3.0	trials	6
107.8238321686368	3.0	trials	1
111.82381299178317	3.0	trials	7
115.82382715143672	3.0	trials	9
119.82380797458309	3.0	trials	6
123.82382213423664	3.0	trials	6
127.8238362938902	3.0	trials	5
131.82381711703655	3.0	trials	4
135.8238312766901	3.0	trials	2
139.8238120998365	3.0	trials	4
143.82382625949003	3.0	trials	9
147.82380708263642	3.0	trials	2
151.82382124228997	3.0	trials	7
155.8238354019435	3.0	trials	7
159.82381622508987	3.0	trials	8
163.82383038474345	3.0	trials	4
167.8238112078898	3.0	trials	1
171.82382536754335	3.0	trials	8
175.82380619068974	3.0	trials	2
179.82382035034328	3.0	trials	5
183.82383450999683	3.0	trials	3
187.82381533314322	3.0	trials	4
191.82382949279676	3.0	trials	4
195.82381031594312	3.0	trials	6
199.82382447559667	3.0	trials	3
203.82380529874305	3.0	trials	8
207.8238194583966	3.0	trials	3
211.82383361805014	3.0	trials	7
215.82381444119653	3.0	trials	8
219.82382860085008	3.0	trials	0
223.82380942399644	3.0	trials	9
227.82382358365	3.0	trials	9
231.82380440679637	3.0	trials	9
235.82381856644992	3.0	trials	0
239.82383272610346	3.0	trials	0
243.82381354924985	3.0	trials	2
247.8238277089034	3.0	trials	8
251.82380853204975	3.0	trials	8
255.82382269170333	2.9999999999999716	trials	0
259.8238035148497	3.0	trials	6
263.82381767450323	3.0	trials	3
267.8238318341568	3.0	trials	6
271.82381265730316	3.0	trials	2
275.82382681695674	3.0	trials	5
279.8238076401031	3.0	trials	0
283.8238217997566	3.0	trials	9
287.82380262290303	3.0	trials	6
291.82381678255655	3.0	trials	1
295.8238309422101	3.0	trials	9
299.8238117653565	3.0	trials	0
303.82382592501006	3.0	trials	5
307.8238067481564	3.0	trials	0
311.82382090780993	3.0	trials	6
315.82380173095635	3.0	trials	5
319.82381589060986	3.0	trials	7
323.82383005026344	3.0	trials	2
327.8238108734098	3.0	trials	0
331.8238250330634	3.0	trials	5
335.82380585620973	3.0	trials	6
339.8238200158633	3.0	trials	7
343.82380083900966	3.0	trials	3
347.8238149986632	3.0	trials	9
351.82382915831676	3.0	trials	4
355.8238099814631	3.0	trials	8
359.8238241411167	3.0	trials	8
363.82380496426305	3.0	trials	7
367.8238191239166	3.0	trials	5
371.823799947063	3.0	trials	0
375.8238141067165	3.0	trials	8
379.82382826637007	3.0	trials	5
383.82380908951643	3.0	trials	9
387.82382324917	3.0	trials	1
391.82380407231636	3.0	trials	8
395.82381823196994	3.0	trials	9
399.8237990551163	3.0	trials	4
403.8238132147698	3.0	trials	6
407.8238273744234	3.0	trials	2
411.82380819756975	3.0	trials	2
415.8238223572233	3.0	trials	2
419.8238031803697	3.0	trials	1
423.82381734002325	3.0	trials	8
427.8237981631696	3.0	trials	3
431.8238123228232	3.0	trials	4
435.8238264824767	3.0	trials	2
439.82380730562306	3.0	trials	0
443.82382146527664	3.0	trials	3
447.823802288423	3.0	trials	0
451.82381644807657	3.0	trials	7
455.82379727122293	3.0	trials	7
459.8238114308765	3.0	trials	9
463.82382559053	3.0	trials	7
467.8238064136764	3.0	trials	5
471.82382057332995	3.0	trials	6
475.8238013964763	3.0	trials	5
479.8238155561299	3.0	trials	8
483.8238297157834	3.0	trials	7
487.8238105389298	3.0	trials	5
491.82382469858334	3.0	trials	0
495.82380552172975	3.0	trials	1
499.82381968138327	3.0	trials	2
503.82380050452963	3.0	trials	2
507.8238146641832	3.0	trials	4
511.8238288238367	3.0	trials	3
515.8238096469831	3.0	trials	5
519.8238238066367	3.0	trials	2
523.823804629783	3.0	trials	3
527.8238187894366	3.0	trials	6
531.823799612583	3.0	trials	9
535.8238137722365	3.0	trials	1
539.82382793189	3.0	trials	5
543.8238087550365	3.0	trials	5
547.82382291469	3.0	trials	7
551.8238037378363	3.0	trials	0
555.8238178974899	3.0	trials	4
559.8237987206363	3.0	trials	1
563.8238128802899	3.0	trials	6
567.8238270399434	3.0	trials	7
571.8238078630898	3.0	trials	2
575.8238220227433	3.0	trials	6
579.8238028458896	3.0	trials	8
583.8238170055432	3.0	trials	5
587.8237978286896	3.0	trials	2
591.8238119883432	3.0	trials	2
595.8238261479967	3.0	trials	2
599.8238069711431	3.0	trials	3
603.8238211307967	3.0	trials	3
607.823801953943	3.0	trials	3
611.8238161135965	3.0	trials	1
615.823796936743	3.0	trials	5
619.8238110963965	3.0	trials	1
623.82382525605	3.0	trials	9
627.8238060791964	3.0	trials	1
631.82382023885	3.0	trials	0
635.8238010619963	3.0	trials	1
639.8238152216499	3.0	trials	3
643.8237960447963	3.0	trials	7
647.8238102044498	3.0	trials	3
651.8238243641033	3.0	trials	0
655.8238051872497	3.0	trials	7
659.8238193469033	3.0	trials	2
663.8238001700496	3.0	trials	1
667.8238143297032	3.0	trials	4
671.8237951528496	3.0	trials	9
675.8238093125032	3.0	trials	1
679.8238234721566	3.0	trials	0
683.823804295303	3.0	trials	8
687.8238184549566	3.0	trials	2
691.8237992781029	3.0	trials	6
695.8238134377565	3.0	trials	4
699.8237942609029	3.0	trials	4
703.8238084205565	3.0	trials	6
707.8238225802099	3.0	trials	5
711.8238034033564	3.0	trials	7
715.8238175630099	3.0	trials	0
719.8237983861563	3.0	trials	9
723.8238125458098	3.0	trials	6
727.8237933689562	3.0	trials	9
731.8238075286098	3.0	trials	4
735.8238216882634	3.0	trials	1
739.8238025114097	3.0	trials	3
743.8238166710632	3.0	trials	9
747.8237974942097	3.0	trials	4
751.8238116538631	3.0	trials	1
755.8237924770095	3.0	trials	1
759.8238066366631	3.0	trials	7
763.8238207963167	3.0	trials	9
767.823801619463	3.0	trials	8
771.8238157791166	3.0	trials	5
775.823796602263	3.0	trials	3
779.8238107619164	3.0	trials	4
783.8237915850628	3.0	trials	0
787.8238057447164	3.0	trials	4
791.82381990437	3.0	trials	5
795.8238007275163	3.0	trials	5
