onset	duration	nwb_table	cond
12.458684408375612	3.0	trials	7
16.45869801056059	3.0	trials	4
20.45871161274557	3.0	trials	0
24.458691878428017	3.0	trials	6
28.458705480612995	3.0	trials	6
32.458685746295444	3.0	trials	0
36.45869934848042	3.0	trials	0
40.45867961416287	3.0	trials	6
44.458693216347854	3.0	trials	8
48.45870681853283	3.0	trials	5
52.45868708421528	3.0	trials	5
56.458700686400256	3.0	trials	8
60.4586809520827	3.0	trials	1
64.45869455426768	3.0	trials	5
68.45870815645266	3.0	trials	7
72.45868842213511	3.0	trials	4
76.45870202432009	3.0	trials	3
80.45868229000254	3.0	trials	8
84.45869589218752	3.0	trials	9
88.4587094943725	3.0	trials	3
92.45868976005494	3.0	trials	9
96.45870336223992	3.0	trials	4
100.45868362792237	3.0	trials	6
104.45869723010735	3.0	trials	1
108.4586774957898	3.0	trials	1
112.45869109797478	3.0	trials	7
116.45870470015976	3.0	trials	9
120.45868496584221	3.0	trials	6
124.45869856802719	3.0	trials	6
128.45867883370963	3.0	trials	9
132.45869243589462	3.0	trials	8
136.45870603807958	3.0	trials	5
140.45868630376202	3.0	trials	7
144.45869990594701	3.0	trials	1
148.45868017162945	3.0	trials	6
152.45869377381445	3.0	trials	0
156.4587073759994	3.0	trials	2
160.45868764168188	3.0	trials	5
164.45870124386684	3.0	trials	6
168.4586815095493	3.0	trials	9
172.45869511173427	3.0	trials	2
176.4586753774167	3.0	trials	0
180.4586889796017	3.0	trials	3
184.45870258178667	3.0	trials	3
188.45868284746913	3.0	trials	1
192.4586964496541	3.0	trials	5
196.45867671533657	3.0	trials	1
200.45869031752153	3.0	trials	5
204.45870391970652	3.0	trials	1
208.45868418538896	3.0	trials	5
212.45869778757395	3.0	trials	3
216.4586780532564	3.0	trials	6
220.45869165544136	3.0	trials	8
224.45867192112382	3.0	trials	5
228.4586855233088	3.0	trials	7
232.45869912549378	3.0	trials	2
236.45867939117622	3.0	trials	9
240.4586929933612	3.0	trials	6
244.45867325904365	3.0	trials	8
248.4586868612286	3.0	trials	0
252.4587004634136	3.0	trials	2
256.45868072909605	3.0	trials	7
260.45869433128104	3.0	trials	0
264.4586745969635	3.0	trials	3
268.45868819914847	3.0	trials	3
272.45870180133346	3.0	trials	6
276.4586820670159	3.0	trials	1
280.4586956692009	3.0	trials	8
284.45867593488333	3.0	trials	6
288.45868953706827	3.0	trials	1
292.45866980275076	3.0	trials	1
296.4586834049357	3.0	trials	7
300.4586970071207	3.0	trials	4
304.45867727280313	3.0	trials	2
308.4586908749881	3.0	trials	3
312.45867114067056	3.0	trials	0
316.45868474285555	3.0	trials	2
320.45869834504055	3.0	trials	1
324.458678610723	3.0	trials	9
328.458692212908	3.0	trials	8
332.4586724785904	3.0	trials	9
336.4586860807754	3.0	trials	0
340.45869968296034	3.0	trials	4
344.45867994864284	3.0	trials	6
348.4586935508278	3.0	trials	0
352.4586738165102	3.0	trials	4
356.4586874186952	3.0	trials	4
360.45866768437764	3.0	trials	4
364.45868128656264	3.0	trials	2
368.45869488874763	3.0	trials	0
372.45867515443007	3.0	trials	2
376.45868875661506	3.0	trials	0
380.4586690222975	3.0	trials	0
384.4586826244825	3.0	trials	4
388.4586962266675	3.0	trials	1
392.4586764923499	3.0	trials	8
396.45869009453486	3.0	trials	7
400.45867036021735	3.0	trials	6
404.4586839624023	3.0	trials	9
408.4586642280848	3.0	trials	7
