onset	duration	nwb_table	cond
12.558494947094465	3.0	trials	7
16.558508883760567	3.0	trials	2
20.558489483921353	3.0	trials	6
24.558503420587456	3.0	trials	9
28.55848402074824	3.0	trials	8
32.55849795741434	3.0	trials	7
36.55847855757513	3.0	trials	3
40.55849249424123	3.0	trials	6
44.558506430907336	3.0	trials	7
48.55848703106812	3.0	trials	8
52.55850096773422	3.0	trials	0
56.55848156789501	3.0	trials	3
60.55849550456111	3.0	trials	8
64.55847610472189	3.0	trials	1
68.558490041388	3.0	trials	4
72.55850397805409	3.0	trials	9
76.55848457821489	3.0	trials	1
80.55849851488098	3.0	trials	4
84.55847911504178	3.0	trials	6
88.55849305170787	3.0	trials	3
92.55847365186865	3.0	trials	8
96.55848758853476	3.0	trials	3
100.55850152520087	3.0	trials	3
104.55848212536165	3.0	trials	5
108.55849606202776	3.0	trials	9
112.55847666218854	3.0	trials	6
116.55849059885463	3.0	trials	0
120.55847119901543	3.0	trials	7
124.55848513568152	3.0	trials	7
128.5584657358423	3.0	trials	0
132.5584796725084	3.0	trials	8
136.55849360917452	3.0	trials	5
140.5584742093353	3.0	trials	4
144.5584881460014	3.0	trials	1
148.5584687461622	3.0	trials	1
152.5584826828283	3.0	trials	3
156.55846328298907	3.0	trials	7
160.55847721965517	3.0	trials	0
164.55849115632128	3.0	trials	9
168.55847175648208	3.0	trials	5
172.55848569314816	3.0	trials	2
176.55846629330895	3.0	trials	0
180.55848022997506	3.0	trials	4
184.55846083013583	3.0	trials	1
188.55847476680194	3.0	trials	0
192.55848870346804	3.0	trials	2
196.55846930362884	3.0	trials	2
200.55848324029495	3.0	trials	5
204.55846384045572	3.0	trials	3
208.55847777712182	3.0	trials	5
212.55849171378793	3.0	trials	1
216.5584723139487	3.0	trials	0
220.5584862506148	3.0	trials	2
224.5584668507756	3.0	trials	4
228.5584807874417	3.0	trials	9
232.55846138760248	3.0	trials	7
236.55847532426858	3.0	trials	9
240.5584892609347	3.0	trials	9
244.5584698610955	3.0	trials	4
248.55848379776157	3.0	trials	8
252.55846439792236	3.0	trials	7
256.5584783345885	3.0	trials	3
260.55845893474924	3.0	trials	1
264.55847287141535	3.0	trials	0
268.55848680808145	3.0	trials	1
272.5584674082422	3.0	trials	3
276.55848134490833	3.0	trials	5
280.55846194506915	3.0	trials	7
284.5584758817352	3.0	trials	8
288.55845648189603	3.0	trials	6
292.55847041856214	3.0	trials	5
296.55848435522825	3.0	trials	8
300.558464955389	3.0	trials	1
304.5584788920551	3.0	trials	3
308.5584594922159	3.0	trials	3
312.558473428882	3.0	trials	4
316.5584873655481	3.0	trials	1
320.55846796570887	3.0	trials	3
324.558481902375	3.0	trials	4
328.55846250253575	3.0	trials	2
332.55847643920185	3.0	trials	1
336.5584570393627	3.0	trials	4
340.5584709760288	3.0	trials	1
344.55848491269484	3.0	trials	7
348.55846551285566	3.0	trials	4
352.55847944952177	3.0	trials	0
356.55846004968254	3.0	trials	3
360.55847398634864	3.0	trials	6
364.5584545865094	3.0	trials	3
368.5584685231755	3.0	trials	3
372.5584824598416	3.0	trials	7
376.5584630600024	3.0	trials	0
380.5584769966685	3.0	trials	9
384.5584575968293	3.0	trials	0
388.5584715334954	3.0	trials	0
392.5584521336562	3.0	trials	5
396.5584660703223	3.0	trials	0
400.5584800069884	3.0	trials	6
404.5584606071492	3.0	trials	8
408.5584745438153	3.0	trials	1
412.55845514397606	3.0	trials	6
416.55846908064217	3.0	trials	5
420.5584830173083	3.0	trials	6
424.55846361746904	3.0	trials	0
428.55847755413515	3.0	trials	3
432.5584581542959	3.0	trials	6
436.558472090962	3.0	trials	5
440.55845269112285	3.0	trials	5
444.55846662778896	3.0	trials	0
448.55848056445507	3.0	trials	9
452.55846116461584	3.0	trials	7
456.55847510128194	3.0	trials	4
460.5584557014427	3.0	trials	9
464.5584696381088	3.0	trials	0
468.5584502382696	3.0	trials	9
472.5584641749357	3.0	trials	6
476.5584781116018	3.0	trials	1
480.55845871176257	3.0	trials	5
484.5584726484287	3.0	trials	5
488.5584532485895	3.0	trials	6
492.5584671852556	3.0	trials	8
496.5584477854164	3.0	trials	1
500.5584617220825	3.0	trials	1
504.5584756587486	3.0	trials	4
508.55845625890936	3.0	trials	5
512.5584701955754	3.0	trials	7
516.5584507957362	3.0	trials	9
520.5584647324024	3.0	trials	4
524.5584786690684	3.0	trials	8
528.5584592692293	3.0	trials	9
532.5584732058953	3.0	trials	6
536.5584538060561	3.0	trials	9
540.5584677427222	3.0	trials	3
544.558448342883	3.0	trials	6
548.5584622795491	3.0	trials	0
552.5584762162152	3.0	trials	2
556.558456816376	3.0	trials	9
560.5584707530421	3.0	trials	2
564.5584513532029	3.0	trials	8
568.558465289869	3.0	trials	1
572.5584458900298	3.0	trials	9
576.5584598266959	3.0	trials	3
580.558473763362	3.0	trials	1
584.5584543635227	3.0	trials	8
588.5584683001889	3.0	trials	9
592.5584489003496	3.0	trials	5
596.5584628370158	3.0	trials	3
600.5584434371765	3.0	trials	5
604.5584573738427	3.0	trials	0
608.5584713105087	3.0	trials	7
612.5584519106695	3.0	trials	4
616.5584658473356	3.0	trials	5
620.5584464474964	3.0	trials	4
624.5584603841626	3.0	trials	4
628.5584743208286	3.0	trials	3
632.5584549209894	3.0	trials	0
636.5584688576555	3.0	trials	1
640.5584494578163	3.0	trials	0
644.5584633944824	3.0	trials	1
648.5584439946432	3.0	trials	3
652.5584579313092	3.0	trials	8
656.5584718679754	3.0	trials	3
660.5584524681361	3.0	trials	5
664.5584664048023	3.0	trials	0
668.5584470049631	3.0	trials	6
672.5584609416292	3.0	trials	6
676.55844154179	3.0	trials	7
680.558455478456	3.0	trials	2
684.5584694151222	3.0	trials	4
688.5584500152829	3.0	trials	7
692.5584639519491	3.0	trials	2
696.5584445521098	3.0	trials	9
700.558458488776	3.0	trials	4
704.5584390889367	3.0	trials	3
708.5584530256028	3.0	trials	2
712.5584669622689	3.0	trials	8
716.5584475624297	3.0	trials	9
720.5584614990958	3.0	trials	1
724.5584420992566	3.0	trials	6
728.5584560359227	3.0	trials	0
732.5584699725888	3.0	trials	6
736.5584505727496	3.0	trials	1
740.5584645094157	3.0	trials	5
744.5584451095765	3.0	trials	7
748.5584590462425	3.0	trials	2
752.5584396464034	3.0	trials	1
756.5584535830694	3.0	trials	0
760.5584675197356	3.0	trials	3
764.5584481198963	3.0	trials	4
768.5584620565625	3.0	trials	7
772.5584426567233	3.0	trials	6
776.5584565933893	3.0	trials	5
780.5584371935502	3.0	trials	2
784.5584511302162	3.0	trials	5
788.5584650668824	3.0	trials	3
792.5584456670431	3.0	trials	9
796.5584596037093	3.0	trials	5
800.55844020387	3.0	trials	5
804.5584541405361	3.0	trials	6
808.5584680772022	3.0	trials	9
812.558448677363	3.0	trials	4
816.558462614029	3.0	trials	4
820.5584432141899	3.0	trials	6
824.5584571508559	3.0	trials	2
828.5584377510168	3.0	trials	7
832.5584516876829	3.0	trials	8
836.558465624349	3.0	trials	7
840.5584462245098	3.0	trials	8
